Size;MergeSort;HeapSort;QuickSort;MergeSorted;HeapSorted;QuickSorted
10;85300;2200;1500;72500;2100;1200
20;174200;4900;3200;168300;5300;2300
30;277800;8300;5000;278400;13000;5300
40;532700;15400;8700;478300;16000;6300
50;477300;16400;8900;475200;16800;6100
60;582900;19500;11100;732600;26300;9200
70;1065700;34400;19300;857500;57000;10800
80;799200;29200;16700;785400;30300;10000
90;1091300;39100;16800;1135500;44300;14400
100;1465800;48600;27300;1243200;49900;15200
110;1402400;79400;35600;1208500;44600;14200
120;1336500;58500;29800;1394800;81500;25600
130;1698100;63400;32700;2658700;81900;21700
140;1411600;56300;28000;1397500;59600;17500
150;1515500;61800;29900;1625600;65100;19300
160;1665100;66700;32000;1634200;86600;31300
170;2209800;90300;43100;2003200;76800;22700
180;2428200;115800;56200;2426300;81200;23500
190;2294000;135300;55400;2083100;86700;24400
200;2640200;87700;42000;2023200;92200;25600
210;2735600;118500;56600;2965900;97500;27700
220;2537800;122800;57500;2323700;103200;28700
230;2364900;101200;48600;2346200;106900;29800
240;8374900;173500;72000;2817900;115000;32000
250;2979000;114600;53800;3657900;134500;35100
260;3437400;132600;59500;2984800;138200;34800
270;3118900;155500;61600;3190500;158100;36500
280;3022400;130900;60100;2956000;141100;36400
290;3292200;192300;90000;4797600;199600;51500
300;3911400;150700;75600;3259200;149200;40100
310;5400800;186600;72600;3623500;171300;43900
320;3895000;153300;71100;4509600;262000;62100
330;3879200;162000;73100;3506000;167200;44900
340;6029700;246700;114000;4626600;173900;46900
350;6212000;188100;97800;3769800;179300;47800
360;4391600;176900;81900;4427700;266400;75700
370;4436600;199600;90600;4311400;211800;51100
380;5571500;234900;115000;4661300;200700;50500
390;4680100;195000;88500;4996000;208400;63700
400;6189400;200200;94900;5237100;352000;56700
410;5694500;208100;92900;4372300;214600;55000
420;5247000;233200;146100;5099300;245600;59500
430;5472500;347700;97400;5134700;228100;58900
440;5435700;278800;151900;4850400;232400;58800
450;5174200;230900;105100;4826800;239400;60500
460;7703800;326100;141800;5459700;327700;66400
470;6091800;243100;114700;5079300;252500;63900
480;5625600;716600;114900;5260800;331500;64900
490;7828500;269200;117300;5275200;264600;66100
500;7213100;616200;239000;7454600;277000;67900
510;6774600;264600;119300;6487200;299600;68600
520;7889200;551300;260900;9170200;459800;95900
530;9812500;310400;135000;7018600;323700;76100
540;7468100;288300;129300;7831100;530500;108900
550;6759400;294100;132500;8686000;426400;89700
560;6029800;297000;135100;8554800;390000;113800
570;7627900;336000;150400;7435100;351700;82400
580;7826600;305700;139300;8465300;361300;84700
590;9106600;503200;197400;12686400;1672500;87500
600;9662100;356900;153600;11384900;376600;94100
610;11175700;625700;257900;9900800;487700;111500
620;8671400;383900;162200;8892400;390200;92300
630;8636500;482700;262200;17281700;538500;119600
640;9435100;429700;206600;9838400;553900;123600
650;10667700;443100;192900;9960000;543000;172200
660;9775300;403000;171000;11470100;423000;98900
670;9349900;509900;225700;9202500;529900;126000
680;11386900;515900;221200;9302700;602600;107200
690;9394100;424200;179400;11377500;453200;103300
700;10050900;425800;184700;8469400;407800;100700
710;9673900;437500;207700;11228200;598000;136000
720;9641200;443200;185200;9445900;467300;107400
730;10595100;406800;178600;8826600;589900;168200
740;9838600;509700;225700;9172600;445700;102900
750;10628500;468600;195100;9031000;484300;109600
760;9962300;468200;196200;9735400;491200;111100
770;8894400;611400;184300;10148200;452100;105600
780;10870300;484800;202000;9556400;563500;126700
790;8903600;446300;192900;9773800;467900;110100
800;10146800;627900;265500;9518700;519400;116300
810;11391500;504100;212400;10353600;525900;118800
820;11069200;462800;201800;9322800;744800;146300
830;13127200;1019500;289200;11226200;494200;115700
840;12458400;476900;236500;11102600;512800;118700
850;9963800;481200;216700;12889000;789800;169800
860;14941400;614300;267400;12039000;513300;121400
870;12320200;620000;296400;11470400;581800;129600
880;9982400;556300;264100;11828100;582300;129900
890;11585600;507600;227400;10547400;589900;132600
900;11106800;761800;270000;10833000;564400;127000
910;12327300;583600;247400;12046200;546500;134300
920;13082700;545700;273300;12474600;552400;130000
930;17210100;695000;246700;12693200;607800;131500
940;15231300;552500;274700;12911200;569900;165900
950;13268900;561500;319800;13612300;877700;189300
960;15524000;557500;260100;12493100;970900;232800
970;14642200;747600;268500;12980100;715700;144200
980;13408800;641600;272400;11921800;684800;144200
990;12045900;641100;270200;11957400;603400;141300
1000;13924000;654600;275000;13662800;685100;148900
